instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
60;9x21_left2_right2-22-0;22;1;19815;99391;549;9.9;206483;1962581;533;600;1;19815;99391;549;9.34;206483;1962581;549;600;1;27541;101703;549;24.2;433054;1823847;531;600;1;52112;10883;549;191.308131;-1;-1;549;600;3;;;;;;;-1;655.252
61;9x21_left2_right2-22-1;22;1;22420;120254;541;66.94;196771;1862309;541;600;1;22420;120254;541;69.52;196771;1862309;541;600;1;32440;122050;541;101.08;411449;1731958;541;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;616.846
62;9x21_left2_right2-22-2;22;1;20391;105448;541;9.4;212946;2030025;532;600;1;20391;105448;541;10.74;212946;2030025;541;600;1;29011;107346;541;18.34;447504;1885075;532;600;1;54767;11016;541;448.7742529;-1;-1;541;600;3;;;;;;;-1;735.537
63;9x21_left2_right2-22-3;22;2;22544;121953;-1;600;-1;-1;613;600;2;22544;121953;-1;600;-1;-1;613;600;2;32924;123614;-1;600;-1;-1;612;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;614.056
64;9x21_left2_right2-22-4;22;1;21927;115613;547;60.16;147983;1363361;547;600;1;21927;115613;547;58.43;147983;1363361;547;600;1;31483;117460;547;54.77;303791;1274782;547;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;633.891
65;9x21_left2_right2-22-5;22;1;19785;100934;544;16.41;197672;1874360;543;600;1;19785;100934;544;16.78;197672;1874360;544;600;1;27926;102675;544;10.89;413953;1742722;543;600;1;52177;10167;544;415.1740789;-1;-1;544;600;3;;;;;;;-1;643.958
66;9x21_left2_right2-22-6;22;0;22223;118519;542;40.34;148340;1367741;542;188.56;1;22223;118519;542;50.11;148340;1367741;542;600;0;32087;120160;542;37.48;304691;1278704;542;208.01;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;615.296
67;9x21_left2_right2-22-7;22;2;22784;124049;-1;600;-1;-1;613;600;1;22784;124049;550;578.61;224590;2147691;550;600;2;33299;125571;-1;600;-1;-1;611;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;653.4
68;9x21_left2_right2-22-8;22;1;21609;112736;557;313.4;166134;1548807;554;600;1;21609;112736;557;300.7;166134;1548807;557;600;2;30847;114686;-1;600;-1;-1;612;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;629.164
69;9x21_left2_right2-22-9;22;0;21552;113253;554;43.09;166069;1548651;550;489.38;1;21552;113253;554;47.94;166069;1548651;554;600;1;30859;114975;554;128.23;343747;1444491;550;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;999.951
70;9x21_left2_right2-24-0;24;1;23968;136210;602;211.97;277617;2743800;586;600;1;23968;136210;602;238.53;277617;2743800;602;600;1;36073;137298;602;165.23;602040;2542265;589;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;624.417
71;9x21_left2_right2-24-1;24;1;23103;126701;595;26.5;205901;1993853;593;600;1;23103;126701;595;34.78;205901;1993853;595;600;1;34077;128440;595;24.94;440194;1854614;593;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;688.609
72;9x21_left2_right2-24-2;24;2;23881;135183;-1;600;-1;-1;668;600;2;23881;135183;-1;600;-1;-1;668;600;2;35986;136397;-1;600;-1;-1;664;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;689.026
73;9x21_left2_right2-24-3;24;1;23189;128521;614;69.23;254537;2502740;614;600;1;23189;128521;614;99.59;254537;2502740;614;600;1;34453;129628;614;36.7;549961;2320784;610;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;656.854
74;9x21_left2_right2-24-4;24;1;23265;129377;618;558.19;274101;2707123;608;600;2;23265;129377;-1;600;-1;-1;666;600;2;34557;130337;-1;600;-1;-1;668;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;758.574
75;9x21_left2_right2-24-5;24;1;22755;124154;609;178.24;199489;1927897;602;600;1;22755;124154;609;249.21;199489;1927897;609;600;1;33448;125492;609;144.23;425726;1793232;599;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;658.855
76;9x21_left2_right2-24-6;24;1;23436;130340;613;505.24;290204;2874556;600;600;2;23436;130340;-1;600;-1;-1;670;600;1;34846;131704;613;374.72;630362;2662466;602;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;617.834
77;9x21_left2_right2-24-7;24;1;22959;126485;618;168.15;296124;2935648;613;600;1;22959;126485;618;249.46;296124;2935648;618;600;1;34011;128100;618;247.69;643588;2718624;618;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;664.527
78;9x21_left2_right2-24-8;24;2;23801;134947;-1;600;-1;-1;671;600;2;23801;134947;-1;600;-1;-1;671;600;2;35885;136012;-1;600;-1;-1;668;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;641.232
79;9x21_left2_right2-24-9;24;2;23863;136112;-1;600;-1;-1;668;600;2;23863;136112;-1;600;-1;-1;668;600;2;36123;137135;-1;600;-1;-1;648;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;623.182
80;9x21_left2_right2-26-0;26;2;27365;165633;-1;600;-1;-1;752;600;2;27365;165633;-1;600;-1;-1;752;600;2;43180;166190;-1;600;-1;-1;754;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600.263
81;9x21_left2_right2-26-1;26;1;24508;141649;654;427.02;328063;3327002;649;600;1;24508;141649;654;387.62;328063;3327002;654;600;2;37410;142473;-1;600;-1;-1;725;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;662.486
82;9x21_left2_right2-26-2;26;2;27416;167211;-1;600;-1;-1;746;600;2;27416;167211;-1;600;-1;-1;746;600;2;43385;167364;-1;600;-1;-1;750;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;615.69
