instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
19;Instance-20-10-22-9_enc1;22;0;82103;489490;284;0.52;149012;1127157;284;0.75;0;82103;489490;284;0.53;149012;1127157;284;0.79;0;112431;498885;284;0.32;240694;1119728;284;1.02;0;203346;46718;284;1.198924303;463317;101813;284;3.704241276;0;;;;;;;290;14.854
20;Instance-20-10-24-0_enc1;24;0;56506;297665;279;0.19;56506;297665;279;0.19;0;56506;297665;279;0.13;56506;297665;279;0.13;0;71202;305656;279;0.15;71202;305656;279;0.15;0;119934;26339;279;0.555322647;119934;26339;279;0.555322647;0;;;;;;;283;0.261
21;Instance-20-10-24-1_enc1;24;0;99846;632450;388;0.31;99846;632450;388;0.31;0;99846;632450;388;0.3;99846;632450;388;0.3;0;142184;641978;388;0.37;142184;641978;388;0.37;0;263825;59717;388;1.601764441;263825;59717;388;1.601764441;0;;;;;;;390;0.263
22;Instance-20-10-24-2_enc1;24;0;124574;882492;351;0.69;144400;1083561;351;0.87;0;124574;882492;351;0.68;144400;1083561;351;0.88;0;192732;883160;351;0.51;232622;1076274;351;1.05;0;368888;80976;351;2.160856009;449673;97418;351;3.742491722;0;;;;;;;354;1.021
23;Instance-20-10-24-3_enc1;24;0;142241;1059599;330;0.83;162193;1267762;330;1.07;0;142241;1059599;330;0.83;162193;1267762;330;1.04;0;226984;1056051;330;0.6;267839;1254646;330;1.24;0;437643;95986;330;2.317642212;520016;112182;330;4.064675093;0;;;;;;;332;0.515
24;Instance-20-10-24-4_enc1;24;0;104201;696808;297;0.69;149937;1156079;297;0.96;0;104201;696808;297;0.65;149937;1156079;297;0.91;0;154234;703292;297;0.39;245285;1145837;297;1.07;0;291190;66586;297;1.775722027;474466;103905;297;3.755560875;0;;;;;;;304;10.776
25;Instance-20-10-24-5_enc1;24;0;72154;408418;313;0.51;148992;1142247;311;0.78;0;72154;408418;313;0.46;148992;1142247;311;0.72;0;95231;418775;313;0.22;242415;1133100;311;0.88;0;170674;39373;313;0.993345022;469061;102951;311;3.319431067;0;;;;;;;316;9.686
26;Instance-20-10-24-6_enc1;24;0;123233;901238;299;1.07;250711;2295666;299;1.51;0;123233;901238;299;1.08;250711;2295666;299;1.74;0;193909;897707;299;0.53;462594;2211044;299;1.71;0;369351;80798;299;2.555145979;909681;186710;299;7.90916729;0;;;;;;;303;25.658
27;Instance-20-10-24-7_enc1;24;0;158279;1213302;381;0.58;158279;1213302;381;0.58;0;158279;1213302;381;0.57;158279;1213302;381;0.57;0;258462;1202466;381;0.66;258462;1202466;381;0.66;0;501382;109162;381;2.682521582;501382;109162;381;2.682521582;0;;;;;;;386;1.455
28;Instance-20-10-24-8_enc1;24;0;67549;376242;259;0.26;74256;430577;259;0.34;0;67549;376242;259;0.31;74256;430577;259;0.39;0;88606;385585;259;0.18;100097;440156;259;0.4;0;158540;35916;259;0.832791805;182323;41512;259;1.434773684;0;;;;;;;269;9.852
29;Instance-20-10-24-9_enc1;24;0;88716;541950;339;0.43;122381;854747;339;0.56;0;88716;541950;339;0.43;122381;854747;339;0.58;0;123261;551499;339;0.26;186677;858890;339;0.65;0;226453;51294;339;1.178727627;356377;79438;339;2.596352577;0;;;;;;;341;1.21
30;Instance-20-10-26-0_enc1;26;0;165312;1337354;299;0.57;165312;1337354;299;0.57;0;165312;1337354;299;0.55;165312;1337354;299;0.55;0;279633;1314887;299;0.61;279633;1314887;299;0.61;0;543320;115689;299;2.89673996;543320;115689;299;2.89673996;0;;;;;;;302;0.326
31;Instance-20-10-26-1_enc1;26;0;142753;1082626;332;0.97;185002;1537082;332;1.28;0;142753;1082626;332;0.95;185002;1537082;332;1.29;0;232291;1072422;332;0.62;320934;1501600;332;1.42;0;449532;97127;332;2.613203526;627769;131858;332;6.560973644;0;;;;;;;333;0.746
32;Instance-20-10-26-2_enc1;26;0;67325;375226;336;0.3;74417;434808;336;0.38;0;67325;375226;336;0.29;74417;434808;336;0.38;0;87748;385148;336;0.18;100064;444621;336;0.41;0;155086;35587;336;0.779640198;180406;41536;336;1.357158184;0;;;;;;;340;0.852
33;Instance-20-10-26-3_enc1;26;0;102046;662098;325;0.31;102046;662098;325;0.31;0;102046;662098;325;0.29;102046;662098;325;0.29;0;148398;672189;325;0.33;148398;672189;325;0.33;0;281876;64774;325;1.386013746;281876;64774;325;1.386013746;0;;;;;;;331;1.358
34;Instance-20-10-26-4_enc1;26;0;77692;446080;356;0.19;77692;446080;356;0.19;0;77692;446080;356;0.23;77692;446080;356;0.23;0;103706;456908;356;0.24;103706;456908;356;0.24;0;189742;43064;356;0.960725546;189742;43064;356;0.960725546;0;;;;;;;361;1.115
35;Instance-20-10-26-5_enc1;26;0;76071;435702;368;0.38;109534;738767;368;0.52;0;76071;435702;368;0.4;109534;738767;368;0.55;0;101665;445125;368;0.25;163839;743914;368;0.64;0;184165;40889;368;1.098931789;312111;69960;368;2.393943548;0;;;;;;;373;6.576
36;Instance-20-10-26-6_enc1;26;0;118586;827008;349;0.67;147123;1117576;349;0.89;0;118586;827008;349;0.69;147123;1117576;349;0.9;0;180653;830322;349;0.42;238154;1109038;349;1.01;0;344920;76904;349;1.903224707;460756;99821;349;3.839823484;0;;;;;;;353;2.01
37;Instance-20-10-26-7_enc1;26;0;188372;1598821;353;1.16;199870;1727730;353;1.49;0;188372;1598821;353;1.16;199870;1727730;353;1.48;0;330288;1560904;353;0.88;355052;1681637;353;1.79;0;645928;134999;353;3.425717831;695734;144551;353;5.889392853;0;;;;;;;356;0.833
38;Instance-20-10-26-8_enc1;26;0;113025;783680;347;0.58;132084;974538;347;0.76;0;113025;783680;347;0.58;132084;974538;347;0.74;0;172126;786787;347;0.4;210139;970365;347;0.9;0;328655;72675;347;1.857852936;405491;88540;347;3.254650116;0;;;;;;;349;0.82
39;Instance-20-10-26-9_enc1;26;0;107164;706491;388;0.56;134743;974900;388;0.73;0;107164;706491;388;0.59;134743;974900;388;0.76;0;157974;714304;388;0.37;212042;974451;388;0.84;0;299525;67692;388;1.730387449;409222;90513;388;3.282740593;0;;;;;;;391;1.488
40;Instance-20-10-28-0_enc1;28;0;93636;590609;432;0.54;132164;967894;432;0.73;0;93636;590609;432;0.54;132164;967894;432;0.74;0;132972;600036;432;0.32;208602;966790;432;0.82;0;250071;56274;432;1.573640823;403837;88733;432;3.306065559;0;;;;;;;436;5.896
