instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5;status_6;vars_makespan_6;clauses_makespan_6;cost_makespan_6;time_makespan_6;vars_soc_6;clauses_soc_6;cost_soc_6;time_soc_6;status_7;vars_makespan_7;clauses_makespan_7;cost_makespan_7;time_makespan_7;vars_soc_7;clauses_soc_7;cost_soc_7;time_soc_7;status_8;vars_makespan_8;clauses_makespan_8;cost_makespan_8;time_makespan_8;vars_soc_8;clauses_soc_8;cost_soc_8;time_soc_8;status_9;vars_makespan_9;clauses_makespan_9;cost_makespan_9;time_makespan_9;vars_soc_9;clauses_soc_9;cost_soc_9;time_soc_9;status_10;vars_makespan_10;clauses_makespan_10;cost_makespan_10;time_makespan_10;vars_soc_10;clauses_soc_10;cost_soc_10;time_soc_10;status_11;vars_makespan_11;clauses_makespan_11;cost_makespan_11;time_makespan_11;vars_soc_11;clauses_soc_11;cost_soc_11;time_soc_11;status_12;vars_makespan_12;clauses_makespan_12;cost_makespan_12;time_makespan_12;vars_soc_12;clauses_soc_12;cost_soc_12;time_soc_12;status_13;vars_makespan_13;clauses_makespan_13;cost_makespan_13;time_makespan_13;vars_soc_13;clauses_soc_13;cost_soc_13;time_soc_13
11;Instance-20-10-26-7;26;0;154888;1816037;353;1.36;164468;1982650;353;1.69;0;241789;1462412;353;1.35;258972;1575189;353;1.68;0;507772;2178914;353;2.44;552373;2380923;353;3.16;0;508019;1747402;353;1.57;548874;1884891;353;1.97;0;330288;1560904;353;1.29;355052;1681637;353;1.66;0;188372;1598821;353;1.42;199870;1727730;353;1.77;0;330288;1560904;353;1.81;355052;1681637;353;2.24;0;330288;1560904;353;1.35;355052;1681637;353;1.75;0;330288;1560904;353;1.8;355052;1681637;353;2.18;0;330288;1560904;353;1.32;355052;1681637;353;1.85;0;188372;1598821;353;1.25;199870;1727730;353;1.6;3;194164;2160743;-1;600;-1;-1;-1;600;0;194164;2358137;353;1.49;205922;2555690;353;1.87
12;Instance-20-10-28-0;28;0;77600;592127;432;0.6;108194;1017944;432;0.81;0;103977;564436;432;0.65;157359;907164;432;0.87;0;168762;689894;432;0.88;290563;1208696;432;1.26;0;187561;659334;432;0.74;309941;1075000;432;1;0;132972;600036;432;0.58;208602;966790;432;0.81;0;93636;590609;432;0.64;132164;967894;432;0.88;0;132972;600036;432;0.68;208602;966790;432;0.89;0;132972;600036;432;0.59;208602;966790;432;0.83;0;132972;600036;432;0.69;208602;966790;432;0.93;0;132972;600036;432;0.59;208602;966790;432;0.87;0;93636;590609;432;0.55;132164;967894;432;0.75;0;97447;758523;432;33.27;137092;1273614;432;62.97;0;97447;829809;432;0.7;137092;1393064;432;0.92
13;Instance-20-10-28-3;28;0;140973;1598017;369;1.42;191452;2510757;369;1.95;0;217363;1304980;369;1.43;308471;1906044;369;1.96;0;448295;1914695;369;2.31;688923;3019430;369;3.29;0;451535;1556298;369;1.59;665559;2284178;369;2.21;0;295637;1392610;369;1.33;427190;2035965;369;1.91;0;171486;1423444;369;1.5;231607;2111357;369;2.07;0;295637;1392610;369;2.02;427190;2035965;369;2.71;0;295637;1392610;369;1.31;427190;2035965;369;2.07;0;295637;1392610;369;1.9;427190;2035965;369;2.48;0;295637;1392610;369;1.3;427190;2035965;369;1.88;0;171486;1423444;369;1.24;231607;2111357;369;1.78;3;177238;1914658;-1;600;-1;-1;-1;600;0;177238;2090298;369;1.53;238660;3140695;369;2
14;Instance-20-10-28-7;28;0;132052;1401606;464;1.01;151195;1724653;464;1.29;0;199696;1182737;464;1.1;234056;1408166;464;1.37;0;395483;1674337;464;1.83;483135;2066662;464;2.46;0;407511;1407771;464;1.3;487779;1680676;464;1.7;0;268978;1261319;464;1.06;318465;1502644;464;1.38;0;161074;1278837;464;1.22;184222;1534344;464;1.54;0;268978;1261319;464;1.13;318465;1502644;464;1.48;0;268978;1261319;464;1.11;318465;1502644;464;1.46;0;268978;1261319;464;1.18;318465;1502644;464;1.5;0;268978;1261319;464;1.07;318465;1502644;464;1.47;0;161074;1278837;464;1.06;184222;1534344;464;1.38;3;166707;1703253;-1;600;-1;-1;-1;600;0;166707;1860983;464;1.21;190398;2249489;464;1.53
15;Instance-20-10-30-0;30;0;149314;1723882;465;1.59;203251;2733852;465;2.18;0;232507;1390400;465;1.41;330493;2035444;465;1.98;0;485221;2069704;465;2.58;748728;3291105;465;3.63;0;487984;1664708;465;1.8;719016;2446592;465;2.43;0;317228;1485036;465;1.45;459169;2175896;465;2.06;0;182128;1520591;465;1.6;246010;2261580;465;2.21;0;317228;1485036;465;2.17;459169;2175896;465;2.72;0;317228;1485036;465;1.5;459169;2175896;465;2.04;0;317228;1485036;465;2.13;459169;2175896;465;2.76;0;317228;1485036;465;1.47;459169;2175896;465;2.23;0;182128;1520591;465;1.65;246010;2261580;465;2.28;3;188401;2043931;-1;600;-1;-1;-1;600;0;188401;2233605;465;1.64;253745;3371232;465;2.16
16;Instance-20-10-30-3;30;0;126165;1368610;429;1.08;156179;1897374;429;1.44;0;191961;1140864;429;1.14;245954;1497434;429;1.49;0;385805;1636776;429;2.08;526661;2277577;429;2.75;0;394068;1358832;429;1.66;520499;1790150;429;2.08;0;259283;1216712;429;1.17;337301;1598502;429;1.54;0;153528;1237917;429;1.31;189558;1645030;429;1.68;0;259283;1216712;429;2.77;337301;1598502;429;3.18;0;259283;1216712;429;1.23;337301;1598502;429;1.61;0;259283;1216712;429;2.62;337301;1598502;429;3.01;0;259283;1216712;429;1.21;337301;1598502;429;1.69;0;153528;1237917;429;1.22;189558;1645030;429;1.55;3;159090;1648823;-1;600;-1;-1;-1;600;0;159090;1801319;429;1.22;196008;2417023;429;1.59
17;Instance-20-10-30-7;30;0;119631;1216260;456;1.05;158022;1869447;456;1.41;0;178409;1047601;456;1.11;247298;1499760;456;1.48;0;345591;1450867;456;1.79;522148;2243748;456;2.51;0;360308;1245415;456;1.23;520641;1791950;456;1.72;0;239271;1117110;456;1.1;338434;1601071;456;1.52;0;145883;1127967;456;1.17;192267;1642936;456;1.58;0;239271;1117110;456;1.88;338434;1601071;456;2.61;0;239271;1117110;456;1.14;338434;1601071;456;1.83;0;239271;1117110;456;1.7;338434;1601071;456;2.12;0;239271;1117110;456;1.08;338434;1601071;456;1.68;0;145883;1127967;456;0.99;192267;1642936;456;1.62;2;151374;1494388;-1;600;-1;-1;929;600;0;151374;1633620;456;1.24;198873;2408863;456;1.63
18;Instance-20-10-32-0;32;0;67420;509549;417;0.48;89686;819973;417;0.64;0;89759;481362;417;0.5;128418;727633;417;0.65;0;145673;593302;417;0.74;234115;971309;417;1.01;0;160764;561812;417;0.54;248925;860533;417;0.76;0;114376;511479;417;0.52;169110;775232;417;0.67;0;80789;504452;417;0.71;108895;776894;417;0.89;0;114376;511479;417;1.16;169110;775232;417;1.38;0;114376;511479;417;0.52;169110;775232;417;0.71;0;114376;511479;417;1.18;169110;775232;417;1.34;0;114376;511479;417;0.5;169110;775232;417;0.73;0;80789;504452;417;0.62;108895;776894;417;0.79;0;84468;640088;417;24.15;113558;1009327;417;35.55;0;84468;700922;417;0.52;113558;1104949;417;0.7
19;Instance-20-10-32-3;32;0;122912;1343254;438;0.95;132507;1508340;438;1.19;0;186932;1109283;438;0.97;204157;1221866;438;1.21;0;377144;1606031;438;1.81;421406;1806168;438;2.36;0;383831;1321857;438;1.21;424166;1458394;438;1.52;0;252776;1183672;438;1.03;277559;1304197;438;1.3;0;149701;1205415;438;1.04;161259;1333253;438;1.31;0;252776;1183672;438;1.1;277559;1304197;438;1.4;0;252776;1183672;438;1.02;277559;1304197;438;1.31;0;252776;1183672;438;1.08;277559;1304197;438;1.39;0;252776;1183672;438;1.03;277559;1304197;438;1.49;0;149701;1205415;438;0.89;161259;1333253;438;1.13;3;155404;1599134;-1;600;-1;-1;-1;600;0;155404;1748022;438;1.14;167260;1938940;438;1.41
20;Instance-20-10-32-7;32;0;117269;1193981;442;2.14;409243;7323314;421;3.48;0;175819;1026427;442;1.94;710299;4570752;421;3.22;0;342400;1427526;442;3.68;1841962;8773519;421;6.26;0;355713;1221479;442;2.22;1619303;5512064;421;3.7;0;236241;1095263;442;1.88;1013023;4890962;421;3.21;0;143199;1106898;442;2.18;481847;5189661;421;3.56;0;236241;1095263;442;2.01;1013023;4890962;421;3.71;0;236241;1095263;442;1.95;1013023;4890962;421;3.62;0;236241;1095263;442;1.98;1013023;4890962;421;3.38;0;236241;1095263;442;1.93;1013023;4890962;421;3.36;0;143199;1106898;442;1.84;481847;5189661;421;3.59;2;148802;1463991;-1;600;-1;-1;958;600;0;148802;1601913;442;2.32;494700;7907252;421;3.47
